,2007,2011,2014
0-30% AMI,222805,235016,240828
30-50% AMI,128632,138902,138554
50-80% AMI,144209,157673,150094
80-120% AMI,123374,126662,140344
120-200% AMI,80428,101317,124479
200%+ AMI,31392,47789,51994
