,"2007 Not Burdened","2007 Burdened","2007 Severely Burdened","2012 Not Burdened","2012 Burdened","2012 Severely Burdened","2013 Not Burdened","2013 Burdened","2013 Severely Burdened","2014 Not Burdened","2014 Burdened","2014 Severely Burdened","2015 Not Burdened","2015 Burdened","2015 Severely Burdened","2016 Not Burdened","2016 Burdened","2016 Severely Burdened","2017 Not Burdened","2017 Burdened","2017 Severely Burdened"
"0-30% AMI",0.112896927806827,0.136092098471758,0.751010973721416,0.107401136823416,0.11336808488072,0.779230778295864,0.10233477989335,0.110033308245392,0.787631911861258,0.128656136329663,0.111643994884316,0.759699868786022,0.098410552654117,0.110350299753144,0.791239147592739,0.125218994162924,0.131678803025648,0.743102202811428,0.121833351747053,0.130009043182218,0.748157605070729
"30-50% AMI",0.180064058710119,0.532418060824678,0.287517880465203,0.154847547909141,0.475593889671218,0.369558562419641,0.1596886425286,0.511381059087156,0.328930298384244,0.149551799298468,0.460484720758694,0.389963479942838,0.152927459507153,0.510153148043108,0.336919392449739,0.162896489835364,0.490677527353053,0.346425982811583,0.190352593231565,0.49130454874536,0.318342858023075
"50-80% AMI",0.577828013508172,0.364228307525883,0.057943678965945,0.517031523092205,0.408027260496171,0.074941216411624,0.541547606984835,0.390630594116256,0.067821798898909,0.480652124668541,0.434034671605794,0.085313203725665,0.518517342545436,0.38787990398415,0.093602753470414,0.544636215786885,0.37119101350244,0.084172770710675,0.525349177217159,0.411192335210128,0.063458487572713
"80-120% AMI",0.883816687470618,0.105856987695949,0.010326324833433,0.838926727905404,0.146420502333559,0.014652769761037,0.820316313224399,0.166286634272851,0.01339705250275,0.784508065895229,0.195163313002337,0.020328621102434,0.801273935130911,0.186697928878468,0.012028135990621,0.818375466918226,0.160414463624122,0.021210069457652,0.840467264645527,0.155385072765374,0.004147662589099
"120%+ AMI",0.973081738508317,0.026918261491683,0,0.951162333996122,0.048426491886982,0.000411174116896,0.961889090200216,0.037440084397863,0.000670825401922,0.961047865679169,0.037161492126274,0.001790642194557,0.957468919595089,0.042531080404911,0,0.964140362121455,0.035475084121135,0.000384553757411,0.978178318004942,0.021821681995058,0
