,2007,2012,2013,2014,2015,2016
15-24,0.090855727655848,0.069337475694407,0.067146413494122,0.059806709969242,0.059725258257469,0.064146623502122
25-34,0.257280663346287,0.308417610828074,0.300924786551313,0.311693467865148,0.295969366677583,0.298316211963562
35-44,0.21685731487056,0.202488072003698,0.21564115063514,0.212851813733541,0.21509864526932,0.206415821026263
45-54,0.183323299217339,0.165022154148456,0.167196344395434,0.155655310867513,0.158379785154781,0.156583481450755
55-64,0.118829018663456,0.122728309634248,0.122317693050376,0.130685235491727,0.130796834371532,0.128732385227344
65-74,0.067434732636419,0.067944618853295,0.068226672093596,0.070872617403193,0.077047342091773,0.079796860914844
75+,0.065419243610093,0.064061758837822,0.05854693978002,0.058434844669636,0.062982768177542,0.066008615915111
