,Single-Unit,2-to-4 Unit,5-to-49 Unit,50+ Units
2012,0.092218303564173,0.383242048464951,0.295199011848071,0.229340636122804
2013,0.092477613554835,0.370015446607394,0.315001026061974,0.222505913775797
2014,0.092626618949148,0.366820425488325,0.314889210420175,0.225663745142353
2015,0.099400115177886,0.357905682109035,0.320260110058868,0.222434092654210
2016,0.098592910744723,0.355774156858070,0.317299110379338,0.228333822017870
2017,0.103946369225996,0.342426939502070,0.317901148880923,0.235725542391011
2018,0.091589882897104,0.371187612023437,0.292410895980005,0.244811609099455
2019,0.089252693052287,0.355658020516198,0.290894631567955,0.264194654863560
2021,0.081872461795059,0.324181806701400,0.308775085588617,0.285170645914924
