1990,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"836,596","829,336","740,067","740,365","730,840","755,292","785,753","793,084","807,359","828,513","845,168","846,293","864,157","863,054","843,246","852,142","856,999"
"1,042,939","1,142,780","1,189,862","1,191,831","1,209,895","1,186,408","1,145,615","1,129,051","1,109,554","1,107,488","1,094,725","1,091,761","1,090,550","1,100,916","1,105,129","1,129,655","1,128,615"
