1990,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
44.50%,42.10%,38.30%,38.30%,37.70%,38.90%,40.70%,41.30%,42.10%,42.80%,43.60%,43.70%,44.20%,43.90%,43.30%,43.00%,43.20%
