,Single-Unit,2-to-4 Unit,5-to-49 Unit,50+ Units
2007,0.115233303689699,0.356510923575396,0.342474766634121,0.185781006100784
2012,0.133251651979301,0.331826774417489,0.338977991868383,0.195943581734827
2015,0.149268120040690,0.303656088613765,0.355246487703570,0.191829303641975
2019,0.137669468832846,0.306803863922722,0.330891159954578,0.224635507289855
