,2007,2012,2013,2014,2015,2016,2017
"15-24",66401,57447,56750,50614,51612,55362,48778
"25-34",188031,255528,254332,263784,255764,257463,239975
"35-44",158488,167764,182253,180135,185879,178148,174265
"45-54",133980,136723,141309,131730,136865,135140,127331
"55-64",86845,101682,103379,110598,113029,111103,119575
"65-74",49284,56293,57663,59979,66581,68869,73229
"75+",47811,53076,49482,49453,54427,56969,60093
