,2007,2011,2014
15-24,66401,56812,50614
25-34,188031,247451,263784
35-44,158488,166294,180135
45-54,133980,130006,131730
55-64,86845.0000000001,104039,110598
65-74,49284,52179,59979
75+,47811,50578,49453
