,15-24,25-34,35-44,45-54,55-64,65-74,75+
0-30%,0.0369533687,0.0539434076,0.0471813256,0.0534809261,0.0416575447,0.0352389032,0.0364060533
30-50%,0.014785726,0.0444036999,0.038808768,0.0324284385,0.0187469214,0.0127004543,0.0141316841
50-80%,0.0190356302,0.0581864704,0.0452903508,0.0393191396,0.022311313,0.0067278748,0.0064487439
80-120%,0.0133025012,0.049653823,0.043991845,0.0297698539,0.0190192108,0.0080304855,0.0050435116
120-200%,0.0056346122,0.0363034317,0.0295700837,0.0208404028,0.0124007991,0.0031347491,0.0021646325
200%+,0.0011438892,0.0147898309,0.0120149417,0.0074845383,0.0046932297,0.0016022659,0.0012246182
