,2007,2011,2014
<30% AMI,0.6979057034,0.7167700575,0.7169185612
30 to 50% AMI,0.5503632521,0.5737096881,0.5736038087
50 to 80% AMI,0.441114034,0.4895536754,0.5162695028
80 to 120% AMI,0.3384476955,0.3878769691,0.4226732402
120 to 200% AMI,0.2043326821,0.2661600055,0.3140134153
Greater than 200% AMI,0.1037056124,0.1504549318,0.1522950882
