,2007,2011,2014
15-24,0.0908557277,0.0703677051,0.05980671
25-34,0.2572806633,0.3064943848,0.3116934679
35-44,0.2168573149,0.2059728076,0.2128518137
45-54,0.1833232992,0.1610262597,0.1556553109
55-64,0.1188290187,0.1288633681,0.1306852355
65-74,0.0674347326,0.0646292418,0.0708726174
75+,0.0654192436,0.062646233,0.0584348447
