,2007,2011,2014
<30% AMI,0.7510109737,0.7788831399,0.7596998688
30-50% AMI,0.2875178805,0.361917035,0.3899634799
50-80% AMI,0.057943679,0.0877702587,0.0853132037
80-120% AMI,0.0103263248,0.0184112046,0.0203286211
120-200% AMI,0,0.0036124244,0.0025385808
Greater than 200% AMI,0,0,0
Total,0.2927357561,0.3094757103,0.2989059345
