2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
829336,740067,740365,730840,755292,785753,793084,807359,828513,845168,846293
1142780,1189862,1191831,1209895,1186408,1145615,1129051,1109554,1107488,1094725,1091761
