,2007,2012,2013,2014,2015
0-30% AMI,0.7510109737214156,0.7792307782958642,0.7876319118612584,0.7596998687860216,0.7912391475927387
30-50% AMI,0.28751788046520305,0.36955856241964113,0.32893029838424365,0.389963479942838,0.3369193924497386
50-80% AMI,0.05794367896594519,0.07494121641162342,0.067821798898909,0.08531320372566524,0.09360275347041415
80-120% AMI,0.010326324833433313,0.014652769761036993,0.013397052502750069,0.02032862110243401,0.012028135990621334
120-200% AMI,0,0.0005954602819104498,0.0010469986040018598,0.0025385808047943817,0
200%+ AMI,0,0,0,0,0
