,2007,2012,2013,2014,2015
0-30% AMI,222805.00000000035,254569.0000000002,249787.9999999998,240827.99999999956,238195.9999999997
30-50% AMI,128632.00000000003,130664.00000000003,135664.00000000006,138553.99999999988,158669.99999999965
50-80% AMI,144209.00000000003,159057.99999999985,148035.00000000012,150094.00000000026,157474
80-120% AMI,123373.99999999997,121273.99999999996,137269.00000000003,140344.00000000006,127950.00000000004
120-200% AMI,80428.00000000003,112517.99999999993,111748.00000000016,124479.00000000003,114512.00000000009
200%+ AMI,31391.999999999996,50429.99999999997,62664.00000000001,51993.99999999999,67355
