,2007,2012,2013,2014,2015
0-30% AMI,0.304861529199278,0.30726011541158704,0.29554834068492863,0.2845681105716337,0.27563972750321974
30-50% AMI,0.17600569208034586,0.15770905224178744,0.16051719894742825,0.16371871207725922,0.1836124685676327
50-80% AMI,0.19731952274095557,0.19198008963045826,0.1751545254907901,0.17735465140323778,0.18222846080052596
80-120% AMI,0.16881123091237468,0.14637549440986436,0.16241622967268046,0.16583381878380193,0.1480633727436104
120-200% AMI,0.11004871107219089,0.1358071629533875,0.13221986634609942,0.147087356270228,0.13251295771485988
200%+ AMI,0.04295331399485521,0.060868085352915366,0.07414383885807319,0.06143735089383938,0.07794301267015143
