,Single-Family,2-to-4 Unit,5-to-49 Unit,50+ Units
2007,0.11523330368969946,0.35651092357539577,0.3424747666341206,0.18578100610078416
2012,0.1332516519793008,0.33182677441748937,0.33897799186838257,0.1959435817348272
2013,0.1426153251201595,0.3186608474669908,0.3493177172531898,0.18940611015965994
2014,0.1460992643798467,0.3179129364699648,0.3448798363001558,0.19110796285003268
2015,0.14926812004068962,0.3036560886137652,0.3552464877035698,0.19182930364197548
