,2007 Not Burdened,2007 Burdened,2007 Severely Burdened,2012 Not Burdened,2012 Burdened,2012 Severely Burdened,2013 Not Burdened,2013 Burdened,2013 Severely Burdened,2014 Not Burdened,2014 Burdened,2014 Severely Burdened,2015 Not Burdened,2015 Burdened,2015 Severely Burdened
0-30% AMI,0.11289692780682659,0.13609209847175788,0.7510109737214156,0.10740113682341551,0.11336808488072032,0.7792307782958642,0.10233477989334955,0.1100333082453921,0.7876319118612584,0.12865613632966263,0.11164399488431581,0.7596998687860216,0.09841055265411673,0.11035029975314446,0.7912391475927387
30-50% AMI,0.1800640587101187,0.5324180608246782,0.28751788046520305,0.154847547909141,0.4755938896712179,0.36955856241964113,0.15968864252860016,0.5113810590871561,0.32893029838424365,0.14955179929846837,0.4604847207586936,0.389963479942838,0.15292745950715322,0.5101531480431082,0.3369193924497386
50-80% AMI,0.5778280135081721,0.3642283075258826,0.05794367896594519,0.5170315230922053,0.4080272604961712,0.07494121641162342,0.5415476069848348,0.3906305941162562,0.067821798898909,0.48065212466854124,0.43403467160579345,0.08531320372566524,0.518517342545436,0.3878799039841499,0.09360275347041415
80-120% AMI,0.8838166874706176,0.10585698769594905,0.010326324833433313,0.8389267279054042,0.1464205023335587,0.014652769761036993,0.8203163132243991,0.1662866342728509,0.013397052502750069,0.784508065895229,0.19516331300233694,0.02032862110243401,0.8012739351309106,0.18669792887846814,0.012028135990621334
120-200% AMI,0.9653354553140697,0.034664544685930276,0,0.9292735384560693,0.07013100126202029,0.0005954602819104498,0.9428446146687189,0.056108386727279164,0.0010469986040018598,0.9481197631729047,0.049341656022300937,0.0025385808047943817,0.934120441525779,0.06587955847422097,0
200%+ AMI,0.9929281345565749,0.007071865443425077,0,1,0,0,0.9958508872717988,0.0041491127282012,0,0.9919990768165557,0.008000923183444246,0,0.9971642788211714,0.0028357211788285954,0
