,2007,2012,2013,2014,2015
15-24,0.09085572765584828,0.06933747569440664,0.06714641349412194,0.05980670996924233,0.059725258257469396
25-34,0.2572806633462869,0.30841761082807434,0.30092478655131255,0.31169346786514834,0.29596936667758306
35-44,0.21685731487056034,0.20248807200369806,0.2156411506351399,0.21285181373354176,0.21509864526932027
45-54,0.18332329921733942,0.16502215414845622,0.167196344395434,0.15565531086751255,0.15837978515478088
55-64,0.11882901866345622,0.12272830963424827,0.12231769305037592,0.1306852354917268,0.13079683437153206
65-74,0.06743473263641851,0.067944618853295,0.06822667209359565,0.07087261740319244,0.07704734209177264
75+,0.06541924361009266,0.06406175883782149,0.058546939780020096,0.05843484466963562,0.06298276817754178
